Voltaje_Cen_0,Voltaje_Cen_1,Voltaje_Cen_2,Voltaje_Cen_3,Voltaje_Cen_4,Voltaje_Ext_0,Voltaje_Ext_1,Voltaje_Ext_2,Voltaje_Ext_3,Voltaje_Ext_4
0.32,0.52,0.6,0.88,0.9,0.054000000000000006,0.048,0.054000000000000006,0.07400000000000001,0.058
0.68,0.02,1.04,1.14,0.78,0.034,0.048,0.042,0.062,0.036000000000000004
0.96,0.02,0.34,0.52,0.02,0.046,0.056,0.044,0.04,0.054000000000000006
0.68,0.04,0.06,0.02,0.24,0.07200000000000001,0.058,0.062,0.028,0.028
0.04,0.04,0.72,0.02,0.8,0.08199999999999999,0.048,0.044,0.078,0.044
0.66,0.4,0.9,0.72,0.56,0.07400000000000001,0.03,0.042,0.046,0.062
0.88,0.32,0.38,0.9,0.02,0.066,0.052000000000000005,0.056,0.03,0.042
0.56,0.8,0.06,0.46,0.26,0.056,0.066,0.028,0.078,0.066
0.16,0.78,0.82,0.16,0.76,0.042,0.07200000000000001,0.06,0.046,0.018000000000000002
0.76,0.22,0.84,0.72,0.9,0.028,0.052000000000000005,0.062,0.048,0.032
0.86,0.28,0.5,0.92,0.12,0.026,0.028,0.052000000000000005,0.052000000000000005,0.048
0.52,0.84,0.64,0.34,0.26,0.026,0.064,0.07,0.06,0.034
0.02,0.7,0.92,0.36,0.86,0.042,0.114,0.022,0.08,0.106
0.88,0.12,0.38,0.84,0.04,0.042,0.08800000000000001,0.034,0.048,0.084
0.86,0.28,0.22,0.92,0.08,0.064,0.062,0.084,0.058,0.034
0.52,0.84,0.16,0.48,0.18,0.08,0.1,0.078,0.042,0.058
0.22,0.76,0.16,0.06,0.26,0.1,0.062,0.07200000000000001,0.08800000000000001,0.048
0.02,0.16,0.14,0.64,0.08,0.036000000000000004,0.056,0.084,0.12,0.048
0.02,0.24,0.16,0.94,0.22,0.038,0.038,0.076,0.056,0.076
0.32,0.88,0.24,0.38,0.16,0.068,0.066,0.042,0.096,0.04
0.02,0.74,0.7,0.36,1.06,0.044,0.07400000000000001,0.048,0.094,0.048
0.14,0.4,1.02,0.02,0.26,0.07,0.038,0.04,0.042,0.042
0.08,0.82,0.68,0.18,0.02,0.06,0.06,0.052000000000000005,0.044,0.048
0.4,0.56,0.04,0.38,0.52,0.08,0.062,0.07200000000000001,0.066,0.062
0.78,0.06,0.76,0.1,0.86,0.04,0.062,0.048,0.078,0.044
1.08,0.2,1.02,0.18,0.82,0.07200000000000001,0.066,0.062,0.03,0.066
